path,sha256,origin,source_commit,author,classification,license,decision,reviewer,evidence
pyproject.toml,a08efceb005bcc5ddacca6133f9a114f7d13a670ec8672527df9df4580c994af,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
schemas/role-v1.schema.json,5343e788c2b064e55a4967b03677b5ffc1e2ff14e9afd95b6e633a39c8fdb60e,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
scripts/build_checksums.py,adb30f09566ce8c03660f3051c1f37d8ad0d5b1fc8f125f70298ca48e6b96b6c,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
scripts/build_manifest.py,b20b9874576dd071ac481decaebab468b912ce7c85be9f105a3469c78e533b28,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
scripts/build_provenance.py,8500f99d256a237860ad74532ffbc7967b45c37d5ffcb6e702bd348b180f8bd0,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
scripts/build_provenance_manifest.py,cecd186768bf5b9386174e2a284b73347534f7d792a2cd78c5f0f5a658600592,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
scripts/build_sbom.py,3f63b189542eae37f44849999b6074f3c2f8d64bf398abc2f5d2dc8d4bfd83dc,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
scripts/check_cla.py,05daadca08a7a3b22f5fdabc4b61b6b886201e512bcdf3413a4d2a9eb88ea5cc,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
scripts/check_p0_gates.py,5792dd975a72b1aae0bfb808dcf9896e735ae10eb094bd7fe7cf716b7a4abc9a,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
scripts/normalize_sdist.py,e33011933ba0029c87fcba1131e3c500e56177b63f186bbcece67a47e12a3cd3,HubICG Community release candidate,43a9e1396b6ed314c34c93c600cfd8877e805c7b,Paulo Cesar Benjamin Junior,first-party,AGPL-3.0-only,approved,Paulo Cesar Benjamin Junior,git:43a9e1396b6ed314c34c93c600cfd8877e805c7b
